"agegrp"	"gender"	"year"	"cause_code"	"rate"	"relrank"
"10-14"	"M"	1999	"E70-E88"	0.5	10
"10-14"	"M"	1999	"G80-G83"	0.5	9
"10-14"	"M"	1999	"I30-I51"	0.8	6
"10-14"	"M"	1999	"J40-J47"	0.6	7
"10-14"	"M"	1999	"Q20-Q28"	0.6	8
"10-14"	"M"	1999	"V01-V99"	6.5	1
"10-14"	"M"	1999	"W00-X59"	3.8	2
"10-14"	"M"	1999	"X60-X84"	1.8	4
"10-14"	"M"	1999	"X85-Y09"	1.5	5
"10-14"	"M"	2000	"C00-C97"	2.9	3
"10-14"	"M"	2000	"E70-E88"	0.6	8
"10-14"	"M"	2000	"G80-G83"	0.7	7
"10-14"	"M"	2000	"I30-I51"	0.8	6
"10-14"	"M"	2000	"J40-J47"	0.5	10
"10-14"	"M"	2000	"Q20-Q28"	0.5	9
"10-14"	"M"	2000	"V01-V99"	6.4	1
"10-14"	"M"	2000	"W00-X59"	3.4	2
"10-14"	"M"	2000	"X60-X84"	2.3	4
"10-14"	"M"	2000	"X85-Y09"	1.4	5
"15-19"	"F"	1999	"C00-C97"	3	3
"15-19"	"F"	1999	"E70-E88"	0.7	7
"15-19"	"F"	1999	"G80-G83"	0.5	10
"15-19"	"F"	1999	"I30-I51"	1.2	6
"15-19"	"F"	1999	"J40-J47"	0.5	9
"15-19"	"F"	1999	"R95-R99"	0.6	8
"15-19"	"F"	1999	"V01-V99"	19	1
"15-19"	"F"	1999	"W00-X59"	2.1	5
"15-19"	"F"	1999	"X60-X84"	2.7	4
"15-19"	"F"	1999	"X85-Y09"	3.5	2
"15-19"	"F"	2000	"C00-C97"	3	3
"15-19"	"F"	2000	"E70-E88"	0.7	8
"15-19"	"F"	2000	"G80-G83"	0.5	9
"15-19"	"F"	2000	"I30-I51"	1	6
"15-19"	"F"	2000	"Q20-Q28"	0.5	10
"15-19"	"F"	2000	"R95-R99"	1	7
"15-19"	"F"	2000	"V01-V99"	18.1	1
"15-19"	"F"	2000	"W00-X59"	2.1	5
"15-19"	"F"	2000	"X60-X84"	2.7	4
"15-19"	"F"	2000	"X85-Y09"	3.1	2
"15-19"	"M"	1999	"C00-C97"	4.3	5
"15-19"	"M"	1999	"G70-G72"	0.9	10
"15-19"	"M"	1999	"I30-I51"	2.2	6
"15-19"	"M"	1999	"Q20-Q28"	0.9	9
"15-19"	"M"	1999	"R95-R99"	1.2	8
"15-19"	"M"	1999	"V01-V99"	34.7	1
"15-19"	"M"	1999	"W00-X59"	9.9	4
"15-19"	"M"	1999	"X60-X84"	13	3
"15-19"	"M"	1999	"X85-Y09"	16.9	2
"15-19"	"M"	1999	"Y10-Y34"	1.3	7
"15-19"	"M"	2000	"C00-C97"	4.3	5
"15-19"	"M"	2000	"G70-G72"	0.9	9
"15-19"	"M"	2000	"I30-I51"	2	6
"15-19"	"M"	2000	"Q20-Q28"	0.8	10
"15-19"	"M"	2000	"R95-R99"	1.6	7
"15-19"	"M"	2000	"V01-V99"	35.5	1
"15-19"	"M"	2000	"W00-X59"	10.2	4
"15-19"	"M"	2000	"X60-X84"	13	3
"15-19"	"M"	2000	"X85-Y09"	15.5	2
"15-19"	"M"	2000	"Y10-Y34"	0.9	8
"20-24"	"F"	1999	"B20-B24"	1	7
"20-24"	"F"	1999	"C00-C97"	4.4	3
"20-24"	"F"	1999	"E70-E88"	0.8	9
"20-24"	"F"	1999	"I26-I28"	0.7	10
"20-24"	"F"	1999	"I30-I51"	1.5	6
"20-24"	"F"	1999	"R95-R99"	0.9	8
"20-24"	"F"	1999	"V01-V99"	13.9	1
"20-24"	"F"	1999	"W00-X59"	3.1	5
"20-24"	"F"	1999	"X60-X84"	3.4	4
"20-24"	"F"	1999	"X85-Y09"	5.1	2
"20-24"	"F"	2000	"C00-C97"	4.2	3
"20-24"	"F"	2000	"E70-E88"	0.7	8
"20-24"	"F"	2000	"I30-I51"	1.5	6
"20-24"	"F"	2000	"I60-I69"	0.7	10
"20-24"	"F"	2000	"M30-M35"	0.7	9
"20-24"	"F"	2000	"R95-R99"	1.4	7
"20-24"	"F"	2000	"V01-V99"	14.5	1
"20-24"	"F"	2000	"W00-X59"	3.2	5
"20-24"	"F"	2000	"X60-X84"	3.2	4
"20-24"	"F"	2000	"X85-Y09"	4.7	2
"20-24"	"M"	1999	"C00-C97"	6.1	5
"20-24"	"M"	1999	"F10-F19"	1	10
"20-24"	"M"	1999	"G70-G72"	1.1	9
"20-24"	"M"	1999	"I30-I51"	2.6	6
"20-24"	"M"	1999	"R95-R99"	2.4	7
"20-24"	"M"	1999	"V01-V99"	41.6	1
"20-24"	"M"	1999	"W00-X59"	15.1	4
"20-24"	"M"	1999	"X60-X84"	20.8	3
"20-24"	"M"	1999	"X85-Y09"	25.6	2
"20-24"	"M"	1999	"Y10-Y34"	2.2	8
"20-24"	"M"	2000	"C00-C97"	5.9	5
"20-24"	"M"	2000	"E70-E88"	0.8	10
"20-24"	"M"	2000	"F10-F19"	1.2	9
"20-24"	"M"	2000	"I30-I51"	2.8	7
"20-24"	"M"	2000	"R95-R99"	3.3	6
"20-24"	"M"	2000	"V01-V99"	43.1	1
"20-24"	"M"	2000	"W00-X59"	15.4	4
"20-24"	"M"	2000	"X60-X84"	21.4	3
"20-24"	"M"	2000	"X85-Y09"	26.7	2
"20-24"	"M"	2000	"Y10-Y34"	2	8
"25-34"	"F"	1999	"B20-B24"	4.1	6
"25-34"	"F"	1999	"C00-C97"	10.3	1
"25-34"	"F"	1999	"I20-I25"	1.4	10
"25-34"	"F"	1999	"I30-I51"	2.5	7
"25-34"	"F"	1999	"I60-I69"	1.4	8
"25-34"	"F"	1999	"R95-R99"	1.4	9
"25-34"	"F"	1999	"V01-V99"	9.5	2
"25-34"	"F"	1999	"W00-X59"	4.3	5
"25-34"	"F"	1999	"X60-X84"	4.6	3
"25-34"	"F"	1999	"X85-Y09"	4.4	4
"25-34"	"F"	2000	"B20-B24"	4.2	5
"25-34"	"F"	2000	"C00-C97"	10.4	1
"25-34"	"F"	2000	"E10-E14"	1.2	10
"25-34"	"F"	2000	"I30-I51"	2.5	7
"25-34"	"F"	2000	"I60-I69"	1.5	9
"25-34"	"F"	2000	"R95-R99"	2	8
"25-34"	"F"	2000	"V01-V99"	9.2	2
"25-34"	"F"	2000	"W00-X59"	4.4	3
"25-34"	"F"	2000	"X60-X84"	4.3	4
"25-34"	"F"	2000	"X85-Y09"	4.1	6
"25-34"	"M"	1999	"B20-B24"	9.5	6
"25-34"	"M"	1999	"C00-C97"	9.7	5
"25-34"	"M"	1999	"I20-I25"	3.7	8
"25-34"	"M"	1999	"I30-I51"	4.6	7
"25-34"	"M"	1999	"R95-R99"	2.9	9
"25-34"	"M"	1999	"V01-V99"	26.9	1
"25-34"	"M"	1999	"W00-X59"	17.5	3
"25-34"	"M"	1999	"X60-X84"	20.7	2
"25-34"	"M"	1999	"X85-Y09"	16.4	4
"25-34"	"M"	1999	"Y10-Y34"	2.6	10
"25-34"	"M"	2000	"B20-B24"	8	6
"25-34"	"M"	2000	"C00-C97"	9.2	5
"25-34"	"M"	2000	"I20-I25"	3.5	9
"25-34"	"M"	2000	"I30-I51"	4.5	7
"25-34"	"M"	2000	"R95-R99"	4.4	8
"25-34"	"M"	2000	"V01-V99"	27.4	1
"25-34"	"M"	2000	"W00-X59"	17.2	3
"25-34"	"M"	2000	"X60-X84"	19.6	2
"25-34"	"M"	2000	"X85-Y09"	16.5	4
"25-34"	"M"	2000	"Y10-Y34"	2.4	10
"35-44"	"F"	1999	"B20-B24"	6.7	5
"35-44"	"F"	1999	"C00-C97"	40.9	1
"35-44"	"F"	1999	"I20-I25"	7.9	4
"35-44"	"F"	1999	"I30-I51"	5.7	7
"35-44"	"F"	1999	"I60-I69"	5.6	9
"35-44"	"F"	1999	"K70-K76"	5.6	8
"35-44"	"F"	1999	"V01-V99"	9.5	2
"35-44"	"F"	1999	"W00-X59"	7.9	3
"35-44"	"F"	1999	"X60-X84"	6.4	6
"35-44"	"F"	1999	"X85-Y09"	4	10
"35-44"	"F"	2000	"B20-B24"	6.5	5
"35-44"	"F"	2000	"C00-C97"	40.4	1
"35-44"	"F"	2000	"I20-I25"	7.6	4
"35-44"	"F"	2000	"I30-I51"	5.5	9
"35-44"	"F"	2000	"I60-I69"	5.7	8
"35-44"	"F"	2000	"K70-K76"	5.9	7
"35-44"	"F"	2000	"V01-V99"	9.1	2
"35-44"	"F"	2000	"W00-X59"	8.1	3
"35-44"	"F"	2000	"X60-X84"	6.4	6
"35-44"	"F"	2000	"X85-Y09"	3.9	10
"35-44"	"M"	1999	"B20-B24"	21	6
"35-44"	"M"	1999	"C00-C97"	33.3	1
"35-44"	"M"	1999	"F10-F19"	7.3	10
"35-44"	"M"	1999	"I20-I25"	26.6	2
"35-44"	"M"	1999	"I30-I51"	11.4	8
"35-44"	"M"	1999	"K70-K76"	12.5	7
"35-44"	"M"	1999	"V01-V99"	23.6	4
"35-44"	"M"	1999	"W00-X59"	25.8	3
"35-44"	"M"	1999	"X60-X84"	22.4	5
"35-44"	"M"	1999	"X85-Y09"	10.2	9
"35-44"	"M"	2000	"B20-B24"	19.8	6
"35-44"	"M"	2000	"C00-C97"	32.7	1
"35-44"	"M"	2000	"I20-I25"	25.8	3
"35-44"	"M"	2000	"I30-I51"	10.8	8
"35-44"	"M"	2000	"K70-K76"	12.5	7
"35-44"	"M"	2000	"R95-R99"	7.6	10
"35-44"	"M"	2000	"V01-V99"	24.3	4
"35-44"	"M"	2000	"W00-X59"	25.9	2
"35-44"	"M"	2000	"X60-X84"	22.8	5
"35-44"	"M"	2000	"X85-Y09"	10.2	9
"45-54"	"F"	1999	"C00-C97"	123.7	1
"45-54"	"F"	1999	"E10-E14"	10.4	6
"45-54"	"F"	1999	"I20-I25"	30.7	2
"45-54"	"F"	1999	"I30-I51"	12	4
"45-54"	"F"	1999	"I60-I69"	13.8	3
"45-54"	"F"	1999	"J40-J47"	8.4	8
"45-54"	"F"	1999	"K70-K76"	10.7	5
"45-54"	"F"	1999	"V01-V99"	8.6	7
"45-54"	"F"	1999	"W00-X59"	7.5	9
"45-54"	"F"	1999	"X60-X84"	6.6	10
"45-54"	"F"	2000	"C00-C97"	124.2	1
"45-54"	"F"	2000	"E10-E14"	11.1	6
"45-54"	"F"	2000	"I20-I25"	29.9	2
"45-54"	"F"	2000	"I30-I51"	11.7	4
"45-54"	"F"	2000	"I60-I69"	14.5	3
"45-54"	"F"	2000	"J40-J47"	8.3	8
"45-54"	"F"	2000	"K70-K76"	11.4	5
"45-54"	"F"	2000	"V01-V99"	8.8	7
"45-54"	"F"	2000	"W00-X59"	7.7	9
"45-54"	"F"	2000	"X60-X84"	6.7	10
"45-54"	"M"	1999	"B20-B24"	17.5	8
"45-54"	"M"	1999	"C00-C97"	131.7	1
"45-54"	"M"	1999	"E10-E14"	15.6	10
"45-54"	"M"	1999	"I20-I25"	106.2	2
"45-54"	"M"	1999	"I30-I51"	24.7	5
"45-54"	"M"	1999	"I60-I69"	16.7	9
"45-54"	"M"	1999	"K70-K76"	32.4	3
"45-54"	"M"	1999	"V01-V99"	22	6
"45-54"	"M"	1999	"W00-X59"	25.2	4
"45-54"	"M"	1999	"X60-X84"	21.5	7
"45-54"	"M"	2000	"B20-B24"	17.8	8
"45-54"	"M"	2000	"C00-C97"	130.9	1
"45-54"	"M"	2000	"E10-E14"	15.3	10
