"agegrp"	"gender"	"year"	"cause_code"	"rate"	"relrank"
"1-4"	"M"	2001	"A30-A49"	0.9	9
"1-4"	"M"	2001	"C00-C97"	2.9	4
"1-4"	"M"	2001	"E70-E88"	1.1	8
"1-4"	"M"	2001	"I30-I51"	1.3	7
"1-4"	"M"	2001	"Q00-Q07"	0.9	10
"1-4"	"M"	2001	"Q20-Q28"	1.5	6
"1-4"	"M"	2001	"R95-R99"	1.8	5
"1-4"	"M"	2001	"V01-V99"	5	2
"1-4"	"M"	2001	"W00-X59"	8.3	1
"1-4"	"M"	2001	"X85-Y09"	3	3
"1-4"	"M"	2002	"C00-C97"	2.7	4
"1-4"	"M"	2002	"E70-E88"	0.8	9
"1-4"	"M"	2002	"I30-I51"	0.9	7
"1-4"	"M"	2002	"J09-J18"	0.8	8
"1-4"	"M"	2002	"Q00-Q07"	0.8	10
"1-4"	"M"	2002	"Q20-Q28"	1.7	5
"1-4"	"M"	2002	"R95-R99"	1.5	6
"1-4"	"M"	2002	"V01-V99"	4.8	2
"1-4"	"M"	2002	"W00-X59"	8.1	1
"1-4"	"M"	2002	"X85-Y09"	2.9	3
"1-4"	"M"	2003	"A30-A49"	0.8	10
"1-4"	"M"	2003	"C00-C97"	2.8	3
"1-4"	"M"	2003	"E70-E88"	1.1	8
"1-4"	"M"	2003	"I30-I51"	0.9	9
"1-4"	"M"	2003	"J09-J18"	1.1	7
"1-4"	"M"	2003	"Q20-Q28"	1.6	5
"1-4"	"M"	2003	"R95-R99"	1.4	6
"1-4"	"M"	2003	"V01-V99"	4.6	2
"1-4"	"M"	2003	"W00-X59"	8.5	1
"1-4"	"M"	2003	"X85-Y09"	2.5	4
"5-9"	"F"	2001	"C00-C97"	2.4	2
"5-9"	"F"	2001	"E70-E88"	0.4	7
"5-9"	"F"	2001	"G80-G83"	0.5	6
"5-9"	"F"	2001	"G90-G98"	0.3	10
"5-9"	"F"	2001	"I30-I51"	0.5	5
"5-9"	"F"	2001	"Q00-Q07"	0.3	9
"5-9"	"F"	2001	"Q20-Q28"	0.3	8
"5-9"	"F"	2001	"V01-V99"	3.2	1
"5-9"	"F"	2001	"W00-X59"	1.8	3
"5-9"	"F"	2001	"X85-Y09"	0.6	4
"5-9"	"F"	2002	"C00-C97"	2.5	2
"5-9"	"F"	2002	"E70-E88"	0.3	9
"5-9"	"F"	2002	"G80-G83"	0.5	5
"5-9"	"F"	2002	"I30-I51"	0.4	6
"5-9"	"F"	2002	"J09-J18"	0.2	10
"5-9"	"F"	2002	"Q00-Q07"	0.4	8
"5-9"	"F"	2002	"Q20-Q28"	0.4	7
"5-9"	"F"	2002	"V01-V99"	3	1
"5-9"	"F"	2002	"W00-X59"	1.6	3
"5-9"	"F"	2002	"X85-Y09"	0.8	4
"5-9"	"F"	2003	"C00-C97"	2.3	2
"5-9"	"F"	2003	"G80-G83"	0.5	5
"5-9"	"F"	2003	"I30-I51"	0.3	9
"5-9"	"F"	2003	"J09-J18"	0.4	6
"5-9"	"F"	2003	"Q00-Q07"	0.3	10
"5-9"	"F"	2003	"Q20-Q28"	0.4	7
"5-9"	"F"	2003	"R95-R99"	0.4	8
"5-9"	"F"	2003	"V01-V99"	3	1
"5-9"	"F"	2003	"W00-X59"	1.6	3
"5-9"	"F"	2003	"X85-Y09"	0.5	4
"5-9"	"M"	2001	"C00-C97"	2.4	3
"5-9"	"M"	2001	"E70-E88"	0.4	7
"5-9"	"M"	2001	"G80-G83"	0.4	6
"5-9"	"M"	2001	"G90-G98"	0.3	9
"5-9"	"M"	2001	"I30-I51"	0.3	8
"5-9"	"M"	2001	"Q20-Q28"	0.4	5
"5-9"	"M"	2001	"R95-R99"	0.3	10
"5-9"	"M"	2001	"V01-V99"	4.3	1
"5-9"	"M"	2001	"W00-X59"	3.2	2
"5-9"	"M"	2001	"X85-Y09"	0.7	4
"5-9"	"M"	2002	"A30-A49"	0.3	8
"5-9"	"M"	2002	"C00-C97"	2.9	3
"5-9"	"M"	2002	"E70-E88"	0.5	6
"5-9"	"M"	2002	"G80-G83"	0.6	5
"5-9"	"M"	2002	"I30-I51"	0.3	9
"5-9"	"M"	2002	"Q00-Q07"	0.3	10
"5-9"	"M"	2002	"Q20-Q28"	0.4	7
"5-9"	"M"	2002	"V01-V99"	4	1
"5-9"	"M"	2002	"W00-X59"	3	2
"5-9"	"M"	2002	"X85-Y09"	0.6	4
"5-9"	"M"	2003	"C00-C97"	2.9	2
"5-9"	"M"	2003	"E70-E88"	0.5	6
"5-9"	"M"	2003	"G80-G83"	0.7	4
"5-9"	"M"	2003	"I30-I51"	0.4	7
"5-9"	"M"	2003	"J09-J18"	0.4	8
"5-9"	"M"	2003	"Q00-Q07"	0.3	10
"5-9"	"M"	2003	"Q20-Q28"	0.3	9
"5-9"	"M"	2003	"V01-V99"	4	1
"5-9"	"M"	2003	"W00-X59"	2.5	3
"5-9"	"M"	2003	"X85-Y09"	0.7	5
"10-14"	"F"	2001	"C00-C97"	2.3	2
"10-14"	"F"	2001	"E70-E88"	0.4	8
"10-14"	"F"	2001	"G80-G83"	0.5	7
"10-14"	"F"	2001	"I30-I51"	0.6	6
"10-14"	"F"	2001	"Q20-Q28"	0.4	10
"10-14"	"F"	2001	"R95-R99"	0.4	9
"10-14"	"F"	2001	"V01-V99"	3.8	1
"10-14"	"F"	2001	"W00-X59"	1.5	3
"10-14"	"F"	2001	"X60-X84"	0.6	5
"10-14"	"F"	2001	"X85-Y09"	0.7	4
"10-14"	"F"	2002	"C00-C97"	2.2	2
"10-14"	"F"	2002	"E70-E88"	0.4	10
"10-14"	"F"	2002	"G80-G83"	0.5	6
"10-14"	"F"	2002	"I30-I51"	0.4	9
"10-14"	"F"	2002	"J40-J47"	0.4	7
"10-14"	"F"	2002	"Q20-Q28"	0.4	8
"10-14"	"F"	2002	"V01-V99"	3.8	1
"10-14"	"F"	2002	"W00-X59"	1.4	3
"10-14"	"F"	2002	"X60-X84"	0.6	5
"10-14"	"F"	2002	"X85-Y09"	0.8	4
"10-14"	"F"	2003	"C00-C97"	2.5	2
"10-14"	"F"	2003	"E70-E88"	0.3	10
"10-14"	"F"	2003	"G80-G83"	0.5	6
"10-14"	"F"	2003	"I30-I51"	0.4	8
"10-14"	"F"	2003	"J09-J18"	0.4	9
"10-14"	"F"	2003	"Q20-Q28"	0.5	7
"10-14"	"F"	2003	"V01-V99"	3.7	1
"10-14"	"F"	2003	"W00-X59"	1.1	3
"10-14"	"F"	2003	"X60-X84"	0.5	5
"10-14"	"F"	2003	"X85-Y09"	0.5	4
"10-14"	"M"	2001	"C00-C97"	2.6	3
"10-14"	"M"	2001	"E70-E88"	0.4	9
"10-14"	"M"	2001	"G80-G83"	0.6	7
"10-14"	"M"	2001	"I30-I51"	0.7	6
"10-14"	"M"	2001	"J40-J47"	0.3	10
"10-14"	"M"	2001	"Q20-Q28"	0.5	8
"10-14"	"M"	2001	"V01-V99"	6.2	1
"10-14"	"M"	2001	"W00-X59"	3.2	2
"10-14"	"M"	2001	"X60-X84"	1.9	4
"10-14"	"M"	2001	"X85-Y09"	1.1	5
"10-14"	"M"	2002	"C00-C97"	2.8	3
"10-14"	"M"	2002	"E70-E88"	0.5	9
"10-14"	"M"	2002	"G80-G83"	0.6	8
"10-14"	"M"	2002	"I30-I51"	0.7	6
"10-14"	"M"	2002	"J40-J47"	0.5	10
"10-14"	"M"	2002	"Q20-Q28"	0.6	7
"10-14"	"M"	2002	"V01-V99"	5.8	1
"10-14"	"M"	2002	"W00-X59"	3.2	2
"10-14"	"M"	2002	"X60-X84"	1.8	4
"10-14"	"M"	2002	"X85-Y09"	1.2	5
"10-14"	"M"	2003	"C00-C97"	2.7	3
"10-14"	"M"	2003	"E70-E88"	0.5	9
"10-14"	"M"	2003	"G80-G83"	0.7	7
"10-14"	"M"	2003	"I30-I51"	0.8	6
"10-14"	"M"	2003	"J40-J47"	0.5	10
"10-14"	"M"	2003	"Q20-Q28"	0.5	8
"10-14"	"M"	2003	"V01-V99"	6.2	1
"10-14"	"M"	2003	"W00-X59"	2.9	2
"10-14"	"M"	2003	"X60-X84"	1.7	4
"10-14"	"M"	2003	"X85-Y09"	1.3	5
"15-19"	"F"	2001	"A30-A49"	0.5	10
"15-19"	"F"	2001	"C00-C97"	2.9	2
"15-19"	"F"	2001	"E70-E88"	0.6	8
"15-19"	"F"	2001	"G80-G83"	0.6	9
"15-19"	"F"	2001	"I30-I51"	1	7
"15-19"	"F"	2001	"R95-R99"	1	6
"15-19"	"F"	2001	"V01-V99"	17.1	1
"15-19"	"F"	2001	"W00-X59"	2.3	5
"15-19"	"F"	2001	"X60-X84"	2.7	4
"15-19"	"F"	2001	"X85-Y09"	2.7	3
"15-19"	"F"	2002	"C00-C97"	3	2
"15-19"	"F"	2002	"E70-E88"	0.6	9
"15-19"	"F"	2002	"G80-G83"	0.6	8
"15-19"	"F"	2002	"I30-I51"	0.9	6
"15-19"	"F"	2002	"Q20-Q28"	0.5	10
"15-19"	"F"	2002	"R95-R99"	0.6	7
"15-19"	"F"	2002	"V01-V99"	19.1	1
"15-19"	"F"	2002	"W00-X59"	2.5	4
"15-19"	"F"	2002	"X60-X84"	2.3	5
"15-19"	"F"	2002	"X85-Y09"	2.8	3
"15-19"	"F"	2003	"C00-C97"	2.5	4
"15-19"	"F"	2003	"E70-E88"	0.6	9
"15-19"	"F"	2003	"G80-G83"	0.6	8
"15-19"	"F"	2003	"I30-I51"	1	6
"15-19"	"F"	2003	"R95-R99"	0.8	7
"15-19"	"F"	2003	"V01-V99"	18	1
"15-19"	"F"	2003	"W00-X59"	2.3	5
"15-19"	"F"	2003	"X60-X84"	2.6	2
"15-19"	"F"	2003	"X85-Y09"	2.6	3
"15-19"	"F"	2003	"Y10-Y34"	0.4	10
"15-19"	"M"	2001	"C00-C97"	4.2	5
"15-19"	"M"	2001	"G70-G72"	1	8
"15-19"	"M"	2001	"I30-I51"	1.7	7
"15-19"	"M"	2001	"Q20-Q28"	1	9
"15-19"	"M"	2001	"R95-R99"	1.9	6
"15-19"	"M"	2001	"V01-V99"	34.9	1
"15-19"	"M"	2001	"W00-X59"	9.6	4
"15-19"	"M"	2001	"X60-X84"	12.7	3
"15-19"	"M"	2001	"X85-Y09"	15.3	2
"15-19"	"M"	2001	"Y10-Y34"	1	10
"15-19"	"M"	2002	"C00-C97"	4	5
"15-19"	"M"	2002	"G70-G72"	0.8	9
"15-19"	"M"	2002	"G80-G83"	0.8	10
"15-19"	"M"	2002	"I30-I51"	2.2	6
"15-19"	"M"	2002	"R95-R99"	1.3	7
"15-19"	"M"	2002	"V01-V99"	36.3	1
"15-19"	"M"	2002	"W00-X59"	10.3	4
"15-19"	"M"	2002	"X60-X84"	12	3
"15-19"	"M"	2002	"X85-Y09"	15	2
"15-19"	"M"	2002	"Y10-Y34"	1	8
"15-19"	"M"	2003	"C00-C97"	4.1	5
"15-19"	"M"	2003	"G70-G72"	0.8	10
"15-19"	"M"	2003	"G80-G83"	0.9	9
"15-19"	"M"	2003	"I30-I51"	1.8	6
"15-19"	"M"	2003	"R95-R99"	1.5	7
"15-19"	"M"	2003	"V01-V99"	34	1
"15-19"	"M"	2003	"W00-X59"	9.7	4
"15-19"	"M"	2003	"X60-X84"	11.4	3
"15-19"	"M"	2003	"X85-Y09"	15.6	2
"15-19"	"M"	2003	"Y10-Y34"	1.2	8
"20-24"	"F"	2001	"B20-B24"	1	8
"20-24"	"F"	2001	"C00-C97"	4.1	3
"20-24"	"F"	2001	"E70-E88"	0.7	10
"20-24"	"F"	2001	"I30-I51"	1.3	7
"20-24"	"F"	2001	"M30-M35"	0.8	9
"20-24"	"F"	2001	"R95-R99"	1.5	6
"20-24"	"F"	2001	"V01-V99"	13.7	1
"20-24"	"F"	2001	"W00-X59"	3.3	4
"20-24"	"F"	2001	"X60-X84"	3.1	5
"20-24"	"F"	2001	"X85-Y09"	4.6	2
"20-24"	"F"	2002	"C00-C97"	4.2	3
"20-24"	"F"	2002	"E70-E88"	0.7	10
"20-24"	"F"	2002	"I30-I51"	1.2	6
"20-24"	"F"	2002	"M30-M35"	0.7	9
"20-24"	"F"	2002	"R95-R99"	1.2	7
"20-24"	"F"	2002	"V01-V99"	14.4	1
"20-24"	"F"	2002	"W00-X59"	3.8	4
"20-24"	"F"	2002	"X60-X84"	3.5	5
"20-24"	"F"	2002	"X85-Y09"	4.6	2
"20-24"	"F"	2002	"Y10-Y34"	0.9	8
"20-24"	"F"	2003	"C00-C97"	4.2	4
"20-24"	"F"	2003	"E70-E88"	0.7	10
"20-24"	"F"	2003	"I30-I51"	1.5	6
"20-24"	"F"	2003	"M30-M35"	0.7	9
"20-24"	"F"	2003	"R95-R99"	1.2	7
"20-24"	"F"	2003	"V01-V99"	14.2	1
"20-24"	"F"	2003	"W00-X59"	4.8	2
"20-24"	"F"	2003	"X60-X84"	3.4	5
"20-24"	"F"	2003	"X85-Y09"	4.7	3
"20-24"	"F"	2003	"Y10-Y34"	1.1	8
"20-24"	"M"	2001	"C00-C97"	5.7	5
"20-24"	"M"	2001	"F10-F19"	1.1	9
"20-24"	"M"	2001	"I20-I25"	0.9	10
"20-24"	"M"	2001	"I30-I51"	2.7	7
"20-24"	"M"	2001	"R95-R99"	3.4	6
"20-24"	"M"	2001	"V01-V99"	43.6	1
"20-24"	"M"	2001	"W00-X59"	16.7	4
"20-24"	"M"	2001	"X60-X84"	20.5	3
"20-24"	"M"	2001	"X85-Y09"	28	2
"20-24"	"M"	2001	"Y10-Y34"	2.1	8
"20-24"	"M"	2002	"C00-C97"	5.7	5
"20-24"	"M"	2002	"F10-F19"	1	9
"20-24"	"M"	2002	"G80-G83"	0.9	10
"20-24"	"M"	2002	"I30-I51"	2.7	6
"20-24"	"M"	2002	"R95-R99"	2.6	7
"20-24"	"M"	2002	"V01-V99"	44.3	1
"20-24"	"M"	2002	"W00-X59"	17.8	4
"20-24"	"M"	2002	"X60-X84"	20.8	3
"20-24"	"M"	2002	"X85-Y09"	27.6	2
"20-24"	"M"	2002	"Y10-Y34"	2.4	8
"20-24"	"M"	2003	"C00-C97"	5.2	5
"20-24"	"M"	2003	"F10-F19"	1.2	9
"20-24"	"M"	2003	"G70-G72"	1.2	10
"20-24"	"M"	2003	"I30-I51"	3	6
"20-24"	"M"	2003	"R95-R99"	2.8	7
"20-24"	"M"	2003	"V01-V99"	42.8	1
"20-24"	"M"	2003	"W00-X59"	19.6	4
"20-24"	"M"	2003	"X60-X84"	20.5	3
"20-24"	"M"	2003	"X85-Y09"	27.9	2
"20-24"	"M"	2003	"Y10-Y34"	2.7	8
"25-34"	"F"	2001	"B20-B24"	3.5	6
"25-34"	"F"	2001	"C00-C97"	10.9	1
"25-34"	"F"	2001	"I20-I25"	1.5	10
"25-34"	"F"	2001	"I30-I51"	2.4	7
"25-34"	"F"	2001	"I60-I69"	1.5	9
"25-34"	"F"	2001	"R95-R99"	2	8
"25-34"	"F"	2001	"V01-V99"	9.1	2
"25-34"	"F"	2001	"W00-X59"	4.8	3
"25-34"	"F"	2001	"X60-X84"	4.4	4
"25-34"	"F"	2001	"X85-Y09"	4.3	5
"25-34"	"F"	2002	"B20-B24"	3.3	6
"25-34"	"F"	2002	"C00-C97"	10.3	1
"25-34"	"F"	2002	"E10-E14"	1.3	10
"25-34"	"F"	2002	"I30-I51"	2.5	7
"25-34"	"F"	2002	"I60-I69"	1.4	9
"25-34"	"F"	2002	"R95-R99"	1.6	8
"25-34"	"F"	2002	"V01-V99"	9.2	2
"25-34"	"F"	2002	"W00-X59"	5.7	3
"25-34"	"F"	2002	"X60-X84"	4.7	4
"25-34"	"F"	2002	"X85-Y09"	4.2	5
"25-34"	"F"	2003	"B20-B24"	2.8	6
"25-34"	"F"	2003	"C00-C97"	9.9	1
"25-34"	"F"	2003	"E10-E14"	1.4	9
"25-34"	"F"	2003	"I30-I51"	2.6	7
"25-34"	"F"	2003	"I60-I69"	1.4	10
"25-34"	"F"	2003	"R95-R99"	1.6	8
"25-34"	"F"	2003	"V01-V99"	8.9	2
"25-34"	"F"	2003	"W00-X59"	6.3	3
"25-34"	"F"	2003	"X60-X84"	4.6	4
"25-34"	"F"	2003	"X85-Y09"	3.9	5
"25-34"	"M"	2001	"B20-B24"	7.1	6
"25-34"	"M"	2001	"C00-C97"	9.3	5
"25-34"	"M"	2001	"I20-I25"	4.2	9
"25-34"	"M"	2001	"I30-I51"	4.6	7
"25-34"	"M"	2001	"R95-R99"	4.5	8
"25-34"	"M"	2001	"U00-U49"	3.1	10
"25-34"	"M"	2001	"V01-V99"	28.1	1
"25-34"	"M"	2001	"W00-X59"	17	4
"25-34"	"M"	2001	"X60-X84"	21.1	2
"25-34"	"M"	2001	"X85-Y09"	17.6	3
"25-34"	"M"	2002	"B20-B24"	6	6
"25-34"	"M"	2002	"C00-C97"	9.4	5
"25-34"	"M"	2002	"I20-I25"	3.7	8
"25-34"	"M"	2002	"I30-I51"	5	7
"25-34"	"M"	2002	"R95-R99"	3.6	9
"25-34"	"M"	2002	"V01-V99"	28.3	1
"25-34"	"M"	2002	"W00-X59"	19.8	3
"25-34"	"M"	2002	"X60-X84"	20.8	2
"25-34"	"M"	2002	"X85-Y09"	18.4	4
"25-34"	"M"	2002	"Y10-Y34"	2.9	10
"25-34"	"M"	2003	"B20-B24"	5.3	6
"25-34"	"M"	2003	"C00-C97"	9.1	5
"25-34"	"M"	2003	"I20-I25"	4.1	8
"25-34"	"M"	2003	"I30-I51"	4.8	7
"25-34"	"M"	2003	"R95-R99"	3.7	9
"25-34"	"M"	2003	"V01-V99"	27.6	1
"25-34"	"M"	2003	"W00-X59"	20.2	3
"25-34"	"M"	2003	"X60-X84"	21	2
"25-34"	"M"	2003	"X85-Y09"	18.8	4
"25-34"	"M"	2003	"Y10-Y34"	2.9	10
"35-44"	"F"	2001	"B20-B24"	6.7	5
"35-44"	"F"	2001	"C00-C97"	40.9	1
"35-44"	"F"	2001	"I20-I25"	8	4
"35-44"	"F"	2001	"I30-I51"	5.5	8
"35-44"	"F"	2001	"I60-I69"	5.4	9
"35-44"	"F"	2001	"K70-K76"	6.2	7
"35-44"	"F"	2001	"R95-R99"	4.3	10
"35-44"	"F"	2001	"V01-V99"	9.6	2
"35-44"	"F"	2001	"W00-X59"	9.3	3
"35-44"	"F"	2001	"X60-X84"	6.4	6
"35-44"	"F"	2002	"B20-B24"	6.7	6
"35-44"	"F"	2002	"C00-C97"	40.2	1
"35-44"	"F"	2002	"I20-I25"	8.2	4
"35-44"	"F"	2002	"I30-I51"	5.9	8
"35-44"	"F"	2002	"I60-I69"	5.6	9
"35-44"	"F"	2002	"K70-K76"	6.3	7
"35-44"	"F"	2002	"V01-V99"	9.6	3
"35-44"	"F"	2002	"W00-X59"	11.1	2
"35-44"	"F"	2002	"X60-X84"	6.9	5
"35-44"	"F"	2002	"X85-Y09"	3.8	10
"35-44"	"F"	2003	"B20-B24"	6.6	6
"35-44"	"F"	2003	"C00-C97"	39.1	1
"35-44"	"F"	2003	"I20-I25"	8.4	4
"35-44"	"F"	2003	"I30-I51"	5.7	8
"35-44"	"F"	2003	"I60-I69"	5.3	9
"35-44"	"F"	2003	"K70-K76"	6.1	7
"35-44"	"F"	2003	"V01-V99"	9.3	3
"35-44"	"F"	2003	"W00-X59"	11.9	2
"35-44"	"F"	2003	"X60-X84"	6.6	5
"35-44"	"F"	2003	"X85-Y09"	3.6	10
"35-44"	"M"	2001	"B20-B24"	19.5	6
"35-44"	"M"	2001	"C00-C97"	32.6	1
"35-44"	"M"	2001	"I20-I25"	25.5	3
"35-44"	"M"	2001	"I30-I51"	10.9	8
"35-44"	"M"	2001	"K70-K76"	11.9	7
"35-44"	"M"	2001	"R95-R99"	7.8	10
"35-44"	"M"	2001	"V01-V99"	24.6	4
"35-44"	"M"	2001	"W00-X59"	26.4	2
"35-44"	"M"	2001	"X60-X84"	23.1	5
"35-44"	"M"	2001	"X85-Y09"	10	9
"35-44"	"M"	2002	"B20-B24"	18.9	6
"35-44"	"M"	2002	"C00-C97"	31.8	1
"35-44"	"M"	2002	"F10-F19"	7.1	10
"35-44"	"M"	2002	"I20-I25"	26.3	3
"35-44"	"M"	2002	"I30-I51"	11.4	8
"35-44"	"M"	2002	"K70-K76"	11.7	7
"35-44"	"M"	2002	"V01-V99"	24.3	4
"35-44"	"M"	2002	"W00-X59"	29	2
"35-44"	"M"	2002	"X60-X84"	23.9	5
"35-44"	"M"	2002	"X85-Y09"	10.6	9
"35-44"	"M"	2003	"B20-B24"	17.7	6
"35-44"	"M"	2003	"C00-C97"	31.1	1
"35-44"	"M"	2003	"F10-F19"	7.2	10
"35-44"	"M"	2003	"I20-I25"	25.9	3
"35-44"	"M"	2003	"I30-I51"	11.2	8
"35-44"	"M"	2003	"K70-K76"	11.5	7
"35-44"	"M"	2003	"V01-V99"	24.6	4
"35-44"	"M"	2003	"W00-X59"	29.2	2
"35-44"	"M"	2003	"X60-X84"	23.4	5
"35-44"	"M"	2003	"X85-Y09"	10.3	9
"45-54"	"F"	2001	"C00-C97"	122.2	1
"45-54"	"F"	2001	"E10-E14"	10.9	6
"45-54"	"F"	2001	"I20-I25"	29.6	2
"45-54"	"F"	2001	"I30-I51"	12.1	5
"45-54"	"F"	2001	"I60-I69"	13.5	3
"45-54"	"F"	2001	"J40-J47"	8.1	9
"45-54"	"F"	2001	"K70-K76"	12.5	4
"45-54"	"F"	2001	"V01-V99"	8.7	8
"45-54"	"F"	2001	"W00-X59"	9	7
"45-54"	"F"	2001	"X60-X84"	7.2	10
"45-54"	"F"	2002	"C00-C97"	120.1	1
"45-54"	"F"	2002	"E10-E14"	11.2	7
"45-54"	"F"	2002	"I20-I25"	29.6	2
"45-54"	"F"	2002	"I30-I51"	11.9	5
"45-54"	"F"	2002	"I60-I69"	13.6	3
"45-54"	"F"	2002	"J40-J47"	8.3	9
"45-54"	"F"	2002	"K70-K76"	12.5	4
"45-54"	"F"	2002	"V01-V99"	8.9	8
"45-54"	"F"	2002	"W00-X59"	11.4	6
"45-54"	"F"	2002	"X60-X84"	7.4	10
"45-54"	"F"	2003	"C00-C97"	117	1
"45-54"	"F"	2003	"E10-E14"	11.2	7
"45-54"	"F"	2003	"I20-I25"	28.3	2
"45-54"	"F"	2003	"I30-I51"	12.3	6
"45-54"	"F"	2003	"I60-I69"	13.4	3
"45-54"	"F"	2003	"J40-J47"	8.2	9
"45-54"	"F"	2003	"K70-K76"	12.7	5
"45-54"	"F"	2003	"V01-V99"	8.9	8
"45-54"	"F"	2003	"W00-X59"	13.1	4
"45-54"	"F"	2003	"X60-X84"	7.6	10
"45-54"	"M"	2001	"B20-B24"	16.8	8
"45-54"	"M"	2001	"C00-C97"	129.6	1
"45-54"	"M"	2001	"E10-E14"	16.3	10
"45-54"	"M"	2001	"I20-I25"	99	2
"45-54"	"M"	2001	"I30-I51"	24.5	5
"45-54"	"M"	2001	"I60-I69"	16.6	9
"45-54"	"M"	2001	"K70-K76"	33.5	3
"45-54"	"M"	2001	"V01-V99"	22.6	7
"45-54"	"M"	2001	"W00-X59"	26.7	4
"45-54"	"M"	2001	"X60-X84"	23.2	6
"45-54"	"M"	2002	"B20-B24"	17.7	8
"45-54"	"M"	2002	"C00-C97"	128.3	1
"45-54"	"M"	2002	"E10-E14"	16.4	10
"45-54"	"M"	2002	"I20-I25"	99.6	2
"45-54"	"M"	2002	"I30-I51"	25.1	5
"45-54"	"M"	2002	"I60-I69"	16.7	9
"45-54"	"M"	2002	"K70-K76"	34	3
"45-54"	"M"	2002	"V01-V99"	23.5	7
"45-54"	"M"	2002	"W00-X59"	28.9	4
"45-54"	"M"	2002	"X60-X84"	24.4	6
"45-54"	"M"	2003	"B20-B24"	17.2	8
"45-54"	"M"	2003	"C00-C97"	127.4	1
"45-54"	"M"	2003	"E10-E14"	16.7	10
"45-54"	"M"	2003	"I20-I25"	97.2	2
"45-54"	"M"	2003	"I30-I51"	24	6
"45-54"	"M"	2003	"I60-I69"	16.7	9
"45-54"	"M"	2003	"K70-K76"	34.6	3
"45-54"	"M"	2003	"V01-V99"	23.8	7
"45-54"	"M"	2003	"W00-X59"	31	4
"45-54"	"M"	2003	"X60-X84"	24.4	5
"55-64"	"F"	2001	"A30-A49"	12.1	9
"55-64"	"F"	2001	"C00-C97"	314.2	1
"55-64"	"F"	2001	"E10-E14"	33.2	5
"55-64"	"F"	2001	"I10-I15"	13.9	8
"55-64"	"F"	2001	"I20-I25"	104	2
"55-64"	"F"	2001	"I30-I51"	31.2	6
"55-64"	"F"	2001	"I60-I69"	33.2	4
"55-64"	"F"	2001	"J40-J47"	41.9	3
"55-64"	"F"	2001	"K70-K76"	17.7	7
"55-64"	"F"	2001	"N17-N19"	11.9	10
"55-64"	"F"	2002	"A30-A49"	12.2	9
"55-64"	"F"	2002	"C00-C97"	305.2	1
"55-64"	"F"	2002	"E10-E14"	31.3	5
"55-64"	"F"	2002	"I10-I15"	14.1	8
"55-64"	"F"	2002	"I20-I25"	98.2	2
"55-64"	"F"	2002	"I30-I51"	30.1	6
"55-64"	"F"	2002	"I60-I69"	32.1	4
"55-64"	"F"	2002	"J40-J47"	39.7	3
"55-64"	"F"	2002	"K70-K76"	17.8	7
"55-64"	"F"	2002	"N17-N19"	11.5	10
"55-64"	"F"	2003	"A30-A49"	12.8	9
"55-64"	"F"	2003	"C00-C97"	301.4	1
"55-64"	"F"	2003	"E10-E14"	32.3	4
"55-64"	"F"	2003	"I10-I15"	15.3	8
"55-64"	"F"	2003	"I20-I25"	93.7	2
"55-64"	"F"	2003	"I30-I51"	29.4	6
"55-64"	"F"	2003	"I60-I69"	30.8	5
"55-64"	"F"	2003	"J40-J47"	40.2	3
"55-64"	"F"	2003	"K70-K76"	18.1	7
"55-64"	"F"	2003	"N17-N19"	11.7	10
"55-64"	"M"	2001	"C00-C97"	408.3	1
"55-64"	"M"	2001	"E10-E14"	43.5	6
"55-64"	"M"	2001	"I10-I15"	22	8
"55-64"	"M"	2001	"I20-I25"	273.6	2
"55-64"	"M"	2001	"I30-I51"	55.7	3
"55-64"	"M"	2001	"I60-I69"	43.7	5
"55-64"	"M"	2001	"J40-J47"	47.3	4
"55-64"	"M"	2001	"K70-K76"	41.2	7
"55-64"	"M"	2001	"V01-V99"	21.4	9
"55-64"	"M"	2001	"X60-X84"	21.2	10
"55-64"	"M"	2002	"C00-C97"	397.8	1
"55-64"	"M"	2002	"E10-E14"	44.2	5
"55-64"	"M"	2002	"I10-I15"	24.6	8
"55-64"	"M"	2002	"I20-I25"	261.9	2
"55-64"	"M"	2002	"I30-I51"	54.1	3
"55-64"	"M"	2002	"I60-I69"	42.5	6
"55-64"	"M"	2002	"J40-J47"	45	4
"55-64"	"M"	2002	"K70-K76"	41	7
"55-64"	"M"	2002	"W00-X59"	22	10
"55-64"	"M"	2002	"X60-X84"	22	9
"55-64"	"M"	2003	"C00-C97"	384.9	1
"55-64"	"M"	2003	"E10-E14"	44.8	5
"55-64"	"M"	2003	"I10-I15"	25.6	8
"55-64"	"M"	2003	"I20-I25"	250.3	2
"55-64"	"M"	2003	"I30-I51"	54.2	3
"55-64"	"M"	2003	"I60-I69"	40.6	7
"55-64"	"M"	2003	"J40-J47"	46.3	4
"55-64"	"M"	2003	"K70-K76"	42.7	6
"55-64"	"M"	2003	"V01-V99"	22.2	10
"55-64"	"M"	2003	"W00-X59"	23.4	9
"65-74"	"F"	2001	"A30-A49"	30.7	9
"65-74"	"F"	2001	"C00-C97"	650.4	1
"65-74"	"F"	2001	"E10-E14"	82.6	6
"65-74"	"F"	2001	"I10-I15"	33.1	8
"65-74"	"F"	2001	"I20-I25"	322.5	2
"65-74"	"F"	2001	"I30-I51"	93.8	5
