Polarity,Positive,Negative,PositiveCnt,NegativeCnt,Count,Word,Matcher,TotalComments,TotalPositive,TotalNegative,OverallPct,PositivePct,NegativePct
.437681685780625,69.9570815450644,8.21079293604447,9943,1167,14213,Overall,1,14213,9943,1167,1,1,1
.567691694523012,81.2805348418617,6.76266392388789,3161,263,3889,Staff,1,14213,9943,1167,.273622739745304,.317912098964095,.225364181662382
.653682994454713,88.0468268638324,3.72766481823783,2858,121,3246,Help,1,14213,9943,1167,.228382466755787,.287438398873579,.103684661525279
.538358664666168,77.4193548387097,8.77719429857464,1032,117,1333,Nurses,1,14213,9943,1167,.0937873777527616,.10379161218948,.10025706940874
.587279574468086,80.5957446808511,5.61702127659574,947,66,1175,Therapist,1,14213,9943,1167,.0826707943432069,.0952428844413155,.0565552699228792
.344795797101449,58.4057971014493,11.1594202898551,806,154,1380,Time,1,14213,9943,1167,.0970942095264898,.0810620537061249,.131962296486718
.407140770252324,65.8034528552457,14.6746347941567,991,221,1506,Doc,1,14213,9943,1167,.105959333004995,.099668108216836,.189374464438732
.356343697003957,58.5076314301865,10.6840022611645,1035,189,1769,Need,1,14213,9943,1167,.124463519313305,.104093331992356,.161953727506427
.34363573160873,60.0646725949879,15.0363783346807,743,186,1237,Patients,1,14213,9943,1167,.0870329979596144,.0747259378457206,.159383033419023
.447406267029973,69.0735694822888,10.2179836512262,507,75,734,People,1,14213,9943,1167,.0516428621684373,.0509906466861108,.06426735218509
.401276482213438,67.5889328063241,13.6363636363636,342,69,506,Food,1,14213,9943,1167,.0356012101597129,.0343960575279091,.0591259640102828
.205679238754325,43.598615916955,12.4567474048443,126,36,289,Smoke,1,14213,9943,1167,.0203334975022866,.0126722317208086,.0308483290488432
.17185,36.6141732283465,11.8110236220472,93,30,254,Cold,1,14213,9943,1167,.0178709632027018,.00935331388916826,.025706940874036
.222255950920245,51.5337423312883,22.3312883435583,420,182,815,Meds,1,14213,9943,1167,.0573418701189052,.0422407724026954,.155955441302485
.216324590163934,53.0054644808743,19.672131147541,97,36,183,Communication,1,14213,9943,1167,.0128755364806867,.00975560695967012,.0308483290488432
.757994763435924,96.2792834175471,1.05649977032614,2096,23,2177,Great,1,14213,9943,1167,.15316963343418,.210801568942975,.0197086546700943
.696163742071885,96.6701902748414,.951374207188161,1829,18,1892,Thank,1,14213,9943,1167,.133117568423274,.183948506486976,.0154241645244216
.610986814159292,89.5575221238938,4.51327433628319,1012,51,1130,Good,1,14213,9943,1167,.0795046788151692,.101780146836971,.0437017994858612
