"birthage1"	"birthage2"	"birthage3"	"birthage4"	"birthage5"	"birthage6"	"birthage7"	"birthage8"	"birthage9"	"birthage10"	"birthage11"	"birthage12"	"birthage13"	"birthage14"	"caseid"	"age"
22	24	29												77649	43
20	24													76527	34
28	34													78667	45
30	32	34												75005	35
30	32													77399	42
23														77986	43
16	19	21	25											71681	44
17	27	33												74005	49
29	31													70956	43
16	18	20	26	28										76852	28
18	22													80429	36
19	21	28	30											75115	31
35	37													73175	37
20	21													74545	29
25	27													70683	29
29														71587	40
20														76830	22
36	40													74260	41
18	19													70811	24
22	26													79788	46
32	35													77589	35
19	24	26	28											78970	29
19														74628	24
23	27													79218	27
23	27	29	31	33										74518	37
22	23													78346	24
17	22	23												71334	47
19														75950	21
19	30	33												76871	46
23	26													72936	26
20	23	25												71314	35
28														77070	37
31	33	35												74006	46
20														78919	22
23	34													72193	34
35	40													75250	46
18	20	24												71831	26
31	33													72041	35
16	32	35												74616	36
26	30	36												79229	38
21	25													71584	39
16	24	25												75589	25
26	30													76213	38
21	23	28	31	35										74639	43
24	32													71324	43
22	23	31												72122	43
29														73847	47
31	33	36												71729	39
19	21	24												79722	48
25														74200	44
26	35													80145	40
23	32													77913	33
27	28	30												78883	39
15	18	20	26											79991	49
19	37													74649	49
18														77993	35
20	25	27												78128	28
20														79727	24
19	22	33	43											76996	47
21														71430	49
17														75926	20
26														76206	36
24														72967	27
19	28													75454	29
27														72775	40
18	22													73874	31
18														71004	33
17	19	21												71768	37
24	31													79873	35
28	30													74333	32
21														79437	24
35														70818	39
26														76944	32
19	22	24												78959	24
19	23													75131	27
18	22	25												74454	48
39														77849	48
26	28	32	34											72941	45
33	36													73186	47
20														78212	23
39	41													79202	43
19														70649	22
35														77322	47
21	22	22	25											74534	44
17	19													73159	38
20	23	27	29											74908	32
20	22	24												73635	26
16	19	20	27											74935	29
24														75958	26
15	17													75614	41
29	37													80613	37
22	24													75401	33
25	28													76745	41
22	25													71266	25
19	22	24	25											78662	25
24														72092	32
22	23	27												77405	27
37														77121	40
23	26													71306	48
18	24	26												70862	30
19	23	26												75892	37
25														74806	26
24														73471	26
18	20	30	32	34										77985	41
26	28													73109	36
30	31													73729	37
21	25													77585	40
19														74429	26
30														78990	40
16	17	18												75607	40
25	28	35												78476	45
30	32	34												76091	41
19														72018	19
18	19	21	24											75954	24
21	23													73260	23
27	29													76312	31
25	27													74491	45
17	26													76354	47
23														80579	28
33														78012	40
32	38													79287	49
20	21	26												79661	41
30														73722	33
32	33													80003	35
19	23													71566	46
26	30	33												76445	42
21	23													71676	24
18	20	26	29	33										77668	45
23														71603	25
20	26													79151	48
24	26	30	33											78691	43
16														79803	19
27	28													70909	41
16	18	19	22											79666	42
20	22													73822	31
18	20	22												76540	30
30	33													80656	44
25	28													79082	41
24	31	33												78279	44
32	35	37	42											72442	48
33														76320	43
30														73644	39
26	28													76165	38
36	41													79127	42
21														75056	24
24	26	28												76955	30
21	23													77765	49
20	25	26	27											71063	29
25	30													75922	34
24														78335	28
30	31	33												79488	40
17														71696	18
21	28													74879	46
34														73116	35
22	27	29												72004	43
23	34	35												80205	37
17	18	21												72858	22
19	23													74345	49
31	37													79225	49
21														80485	22
27	28	32												71722	34
33	35													71010	35
19														74298	23
20	21	27												80419	44
33														74745	34
30	32													75740	43
19	26													72054	36
27	29	30												75486	37
31	34													79874	44
27	32													72855	37
19	29													78657	35
24														77904	34
15														80118	30
21														74130	33
29	31													73252	32
23	26													78441	27
41														80617	44
27	31													74836	41
18	23													77499	34
20	22	34												79836	40
20	26													73178	27
26	36													80659	42
18	21	23												79751	30
19	24													80098	24
23														77930	27
33														75982	40
19	21													80159	30
33														78831	42
30	32													74885	37
18	23	34												75893	46
15	19	24												71776	33
28														78599	29
20	22	29												75603	30
18	24	29	36											73577	41
25	30													80569	37
17	19	28												72970	29
24														77190	46
21														71869	24
18	20													79591	22
18	25	26												77602	26
28														72168	29
31														77117	46
26														75826	39
20	27													80421	37
22	24													73926	46
20	25													72636	25
18	23													79920	47
17	19													80200	32
15	19	23	25	26	35									73719	36
32	35	38												74218	43
16														72411	38
21														77690	30
27														72075	33
37														79955	38
21	23	25	29											80326	35
21														78267	39
29														77385	30
22														79908	23
21														71502	34
21	32													77395	48
20	29													71134	42
33	35													77801	41
32														76473	43
30														78770	33
29														78403	31
15	21	23	26											71301	34
30														78569	48
22	35													80587	48
18	23	24	26	31	32									71763	33
19	21													74145	22
19	33													78072	34
22	24	28	30											71559	38
22	26													77524	47
35														75527	35
26														72169	31
25	28													72856	36
27														73025	28
26														70903	28
17	19	21												77788	30
26														76226	48
40														80391	45
18	19	28	30											79160	39
31	33													80224	39
25														78153	31
26	31	34												76334	42
21	25	28	31											80033	36
16	19													73188	30
29	35													80697	41
17	19													72547	36
24	31	35												71967	43
19														74504	24
23	29	42												77566	44
21	25	31												78302	36
29	31													75652	31
23	26	27												80575	32
22	23	24	25											80592	49
19	23													74385	27
22	24	26												73739	38
35														74723	48
23	27													73993	37
23	26													74314	45
20														79113	21
23	25	27												73814	32
25														78417	35
24														72091	48
22	27													73380	40
23														74255	26
21	31	33												76805	48
25														76281	31
39														72136	49
22	24	25												76013	26
18														75517	40
14	20	22	24											77581	44
19														77337	30
19	22													78670	26
17	24	30												77722	39
29														78733	44
22	25													76188	45
23	26													72587	41
28	30	33	34											71695	40
22	25													80672	25
31	35													77084	47
20	23	25	25											79872	34
19														73133	20
20														72942	46
18	22													71903	25
35	37													76387	46
31	32	35												72005	47
18	22													72183	48
15	21	23												79214	40
18	28	37												79049	41
15	18	20	22											77511	23
20	35													72285	39
26	29													71496	33
22	25													74605	29
33	34													78362	39
30	39													76536	44
29														75012	36
28	31													72297	34
21														75370	44
24	30													71801	45
18	25													72997	27
22														71297	31
23	31													77270	33
26														76657	49
19	30													73647	45
36	41													79816	48
20	22	28												73537	36
19	23													71085	33
18	20	24												79420	28
19	20	29												80261	35
23														71008	24
20	22													73893	43
36														76221	37
32	36													80584	37
19	23													70682	30
15	17	19												75907	38
21	24	29												74927	49
18														78341	37
29	31													75934	32
20	21	22												79099	48
23	27													79677	33
20	26													78675	46
16														79333	23
24														74099	38
31														78539	32
23	23	25	27											72482	35
22	24													79570	26
18														77272	48
23	28	31	34											79451	46
15	29	40												79209	47
16	20													74445	40
31														76922	36
21														74440	29
25	29													80247	48
22	27	28												73363	43
17	21	27	30											73051	33
25	29													71410	34
31	35													74971	36
19														71493	21
27	29	38												72990	41
37														70730	43
15														78974	48
21	29													74586	38
18	20													73038	35
28	29													73373	40
25														78489	32
18														76135	19
21	26	30												76627	36
24	26													72595	48
23	25													80454	45
20														73190	23
37														78777	48
18	19	23	26	27										73010	28
30														76710	30
27														76335	30
18	22													78783	25
27														70869	36
23	28													75157	37
41														77564	46
33	38													74296	44
23	25													78333	34
25														75472	38
21	24													79508	27
15	22													74627	31
20														72500	30
28	30	37												71911	44
22	25													71060	31
23	29													73880	38
17														75196	42
24														73863	37
18	25	32												71459	34
22	25													77081	28
25	26	32												79533	37
18	20													79498	21
31														72409	36
21	24													72828	24
23	25	32	33											75632	48
18	20	21	27	34										76731	44
22	25	31												78531	48
25	27													72724	29
29	32	35												77368	37
21	22	23	27											77648	36
28	30	34												72132	44
19	20	22												79104	48
21	24	27												79701	28
28	33													73027	43
35	37													79652	39
26	29													74134	46
29	31	37												77731	46
33	37													73307	48
22	32													72738	32
23	30	34												71313	41
14	19	22	23											79535	36
19														76460	23
21														76800	26
18	19	20	25											75097	28
34														80020	47
19	22	29												76327	33
18	22	25	27	31										71458	33
31	37													80237	47
24	29													79600	34
33														71849	37
18	21													73205	37
27														71184	27
28	30													80604	37
31	35													74320	46
26	33													80283	37
16	18	22	33											77999	49
29	32	38												75878	41
